GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Aggregate household income in the past 12 months (in 2011 inflation-adjusted dollars),Margin of Error; Aggregate household income in the past 12 months (in 2011 inflation-adjusted dollars)
8600000US06390,06390,ZCTA5 06390,16206300,6823157
8600000US10001,10001,ZCTA5 10001,1271451800,125870776
8600000US10002,10002,ZCTA5 10002,1858702900,96152012
8600000US10003,10003,ZCTA5 10003,3848100700,180348793
8600000US10004,10004,ZCTA5 10004,357186500,100733803
8600000US10005,10005,ZCTA5 10005,443175400,62200837
8600000US10006,10006,ZCTA5 10006,240135000,40752958
8600000US10007,10007,ZCTA5 10007,787712900,127286159
8600000US10009,10009,ZCTA5 10009,2486969700,155176999
8600000US10010,10010,ZCTA5 10010,2402768000,171306321
8600000US10011,10011,ZCTA5 10011,5305317800,332294645
8600000US10012,10012,ZCTA5 10012,1743372600,131513389
8600000US10013,10013,ZCTA5 10013,1851191800,186887475
8600000US10014,10014,ZCTA5 10014,3026958800,219304050
8600000US10016,10016,ZCTA5 10016,4580964000,270341198
8600000US10017,10017,ZCTA5 10017,1586714900,136169273
8600000US10018,10018,ZCTA5 10018,329002200,59965763
8600000US10019,10019,ZCTA5 10019,3238467500,209976790
8600000US10020,10020,ZCTA5 10020,-,**
8600000US10021,10021,ZCTA5 10021,4728764000,376842785
8600000US10022,10022,ZCTA5 10022,3501049600,292035695
8600000US10023,10023,ZCTA5 10023,6233181600,374317062
8600000US10024,10024,ZCTA5 10024,5848127000,317101650
8600000US10025,10025,ZCTA5 10025,4973651200,292764047
8600000US10026,10026,ZCTA5 10026,917457400,79824142
8600000US10027,10027,ZCTA5 10027,1423041200,86879289
8600000US10028,10028,ZCTA5 10028,4944321000,292909395
8600000US10029,10029,ZCTA5 10029,1708627600,120331127
8600000US10030,10030,ZCTA5 10030,595461900,61878403
8600000US10031,10031,ZCTA5 10031,1205835900,109111626
8600000US10032,10032,ZCTA5 10032,1004024400,61231239
8600000US10033,10033,ZCTA5 10033,1172113900,78340109
8600000US10034,10034,ZCTA5 10034,833326000,41587841
8600000US10035,10035,ZCTA5 10035,555704100,44657477
8600000US10036,10036,ZCTA5 10036,1372938200,132513233
8600000US10037,10037,ZCTA5 10037,442226800,42320416
8600000US10038,10038,ZCTA5 10038,1049838000,142624422
8600000US10039,10039,ZCTA5 10039,433992000,34871997
8600000US10040,10040,ZCTA5 10040,865369900,52492910
8600000US10044,10044,ZCTA5 10044,415107100,51341649
8600000US10065,10065,ZCTA5 10065,3514847800,223373403
8600000US10069,10069,ZCTA5 10069,653479300,120347431
8600000US10075,10075,ZCTA5 10075,2668733700,281255669
8600000US10103,10103,ZCTA5 10103,-,**
8600000US10110,10110,ZCTA5 10110,-,**
8600000US10111,10111,ZCTA5 10111,-,**
8600000US10112,10112,ZCTA5 10112,-,**
8600000US10115,10115,ZCTA5 10115,-,**
8600000US10119,10119,ZCTA5 10119,-,**
8600000US10128,10128,ZCTA5 10128,5418231400,280966931
