subborough,2011,2012,2013,2014,2015
South Shore,99910.60393048369,101305.53693025197,100849.38249745473,101845.78654156282,100635.20748884547
East New York and New Lots,45607.6691653501,45374.459402960114,45492.83247846056,45936.978308169055,47561.49552668619
Flatbush,58736.461610858394,59190.97832020949,60775.50162753394,61658.7485397467,63326.03074257699
Lower East Side,91436.11681471231,93596.61050942639,95203.34833644192,98547.1169448952,99848.90127476408
Southwest Queens,72883.4378624003,74174.4714948976,76016.04488538532,77156.76472661481,78212.28361478132
Stapleton and St. George,76015.94269657746,75724.87342354782,79069.8138206739,80020.89432016938,80445.44515358831
West Central Queens,77367.8737494716,78108.75535703507,78616.12695538453,78295.57893254755,80195.19556974656
Jamaica,69121.07621372389,70684.90690625677,69982.34375334317,69963.16960266093,71273.7105568014
Bronx Park and Fordham,41914.300142585555,42827.22654163452,43948.38255474017,43466.143030417225,44516.06118990691
Canarsie and Flatlands,73890.46946801308,74079.8674434917,74518.01510556732,75618.37538426668,77009.85645663412
Upper East Side,189103.69750390152,186550.93043576056,188888.09641952417,192234.64716333465,195090.6389685554
Central Brooklyn,52412.38062205588,54569.50162383224,55922.945783324314,56503.882730202255,57974.77258803732
North Queens,74615.19519389729,74163.686348485,72895.59452431608,72934.79778592168,72250.83461609842
Upper West Side,161308.24844650002,160517.88332922832,160228.13185560843,161101.048694142,165806.24773563677
Central Queens,74727.08591308449,74068.02685037979,74469.90010515247,76328.4709863757,78629.35055926471
Southern Brooklyn,59195.91113034154,59626.28927061853,61382.515689505155,63325.190966303315,65298.832372607794
Sunset Park,52805.01513956388,53518.955952654855,54178.50563474502,54679.24951724858,55877.812115339286
Northwest Queens,65473.03133741052,67008.19268924,68815.89718901909,71522.23128934484,74201.22667468264
Central Harlem,56535.359632211184,58326.12876623568,60078.381373084936,62120.262557906506,63924.3939503582
East Harlem,54762.78659185451,54826.23361603701,56811.38855795181,56558.612705837884,56837.75107853598
Inwood and Washington Heights,55990.28123691345,56974.87349674706,57230.851760215686,58190.03103011232,58326.82971680765
Chelsea and Clinton,143986.31669750463,150732.56119417644,153802.68453082058,155514.18057389843,159594.88160162428
Port Richmond,73310.19235907026,73641.26445506094,73113.88275582391,72053.94965471151,72895.40939597315
Rockaways,66179.82967506463,65972.98219884698,67323.07692307692,67304.94628525423,68032.37124786669
Greenwich Village and Soho,155995.08092444696,161287.55977446292,169644.40423882141,177322.98391748773,185465.38749007334
West Queens,61973.10615562984,61905.29942708896,62865.68327584348,63503.88029130633,64053.36287450802
Central Bronx,35595.50883827016,35302.5448044827,35542.39921570958,34922.39811728936,35090.21855048559
Southwest Brooklyn,70451.05981167707,71440.07459648294,73656.55870657178,76436.52274927397,78876.7067805383
Gramercy Park and Murray Hill,167299.51493313006,167567.09081836327,167757.86902912485,170089.48720454576,174612.5122432369
Lower Manhattan,172791.82996977674,177064.2242973373,177093.45583351783,182915.45378502717,187040.98300970873
Kingsbridge and Riverdale,80242.24054982817,82363.17507746791,82841.17436053089,83125.30828753451,86414.68484949277
Northeast Queens,90585.52030797696,91385.28129541209,91770.85788741153,93176.40436016126,95098.00763540922
Hunts Point and Mott Haven,33582.50656349316,32276.085780002704,33311.08975934574,33827.93662034169,33805.69241445114
Northeast Bronx,62418.812254973134,62069.58985547567,62315.88830255057,62576.55137186223,62690.62286899874
Borough Park,59883.08122097749,60968.08378675538,61692.29050489119,63641.42067373124,65496.84117558629
Southeast Queens,88916.11229291563,89348.0487331327,90341.54731478356,89605.06868553165,89148.38404128492
Mid-Island,90904.82763068787,92505.1411454433,91433.64001555009,94546.58724008781,93456.81600306768
High Bridge and Morrisania,34735.3867946346,34975.656992687385,35666.929256577736,36012.10257407047,37121.64856440606
Southeast Bronx,58577.95254879268,59065.16044702961,59277.159303987515,60780.778509909724,60093.22737779635
Bushwick and Williamsburg,45608.49191011553,46545.01461784769,49023.16098739669,51890.342076634835,54282.78840386538
Greenpoint,66163.19045783719,70199.39882552005,73598.11833134317,78539.22274131565,85208.35583502866
Northwest Brooklyn,117919.05107030206,117686.08368641921,122408.67491414456,126378.32337583846,130592.70757839891
