GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC01_EST_VC29,HC01_MOE_VC29,HC02_EST_VC29,HC02_MOE_VC29,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC01_EST_VC37,HC01_MOE_VC37,HC02_EST_VC37,HC02_MOE_VC37,HC01_EST_VC38,HC01_MOE_VC38,HC02_EST_VC38,HC02_MOE_VC38
Id,Id2,Geography,Total; Estimate; All households,Total; Margin of Error; All households,Mean income (dollars); Estimate; All households,Mean income (dollars); Margin of Error; All households,Total; Estimate; With earnings,Total; Margin of Error; With earnings,Mean income (dollars); Estimate; With earnings,Mean income (dollars); Margin of Error; With earnings,"Total; Estimate; With interest, dividends, or net rental income","Total; Margin of Error; With interest, dividends, or net rental income","Mean income (dollars); Estimate; With interest, dividends, or net rental income","Mean income (dollars); Margin of Error; With interest, dividends, or net rental income",Total; Estimate; With Social Security income,Total; Margin of Error; With Social Security income,Mean income (dollars); Estimate; With Social Security income,Mean income (dollars); Margin of Error; With Social Security income,Total; Estimate; With Supplemental Security Income (SSI),Total; Margin of Error; With Supplemental Security Income (SSI),Mean income (dollars); Estimate; With Supplemental Security Income (SSI),Mean income (dollars); Margin of Error; With Supplemental Security Income (SSI),Total; Estimate; With cash public assistance income,Total; Margin of Error; With cash public assistance income,Mean income (dollars); Estimate; With cash public assistance income,Mean income (dollars); Margin of Error; With cash public assistance income,Total; Estimate; With retirement income,Total; Margin of Error; With retirement income,Mean income (dollars); Estimate; With retirement income,Mean income (dollars); Margin of Error; With retirement income,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - No workers,Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - No workers,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - No workers,Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - No workers,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 1 worker,Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 1 worker,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 1 worker,Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 1 worker,"Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 2 workers, husband and wife worked","Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 2 workers, husband and wife worked","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 2 workers, husband and wife worked","Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 2 workers, husband and wife worked","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 2 workers, other","Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 2 workers, other","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 2 workers, other","Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 2 workers, other","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 3 or more workers, husband and wife worked","Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 3 or more workers, husband and wife worked","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 3 or more workers, husband and wife worked","Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 3 or more workers, husband and wife worked","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 3 or more workers, other","Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 3 or more workers, other","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 3 or more workers, other","Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 3 or more workers, other",Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - White,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - White,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - White,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - White,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Black or African American,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Black or African American,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Black or African American,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Black or African American,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - American Indian and Alaska Native,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - American Indian and Alaska Native,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - American Indian and Alaska Native,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - American Indian and Alaska Native,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Asian,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Asian,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Asian,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Asian,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Native Hawaiian and Other Pacific Islander,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Native Hawaiian and Other Pacific Islander,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Native Hawaiian and Other Pacific Islander,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Native Hawaiian and Other Pacific Islander,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Some other race,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Some other race,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Some other race,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Some other race,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Two or more races,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Two or more races,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Two or more races,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Two or more races,Total; Estimate; Hispanic or Latino origin (of any race),Total; Margin of Error; Hispanic or Latino origin (of any race),Mean income (dollars); Estimate; Hispanic or Latino origin (of any race),Mean income (dollars); Margin of Error; Hispanic or Latino origin (of any race),"Total; Estimate; White alone, not Hispanic or Latino","Total; Margin of Error; White alone, not Hispanic or Latino","Mean income (dollars); Estimate; White alone, not Hispanic or Latino","Mean income (dollars); Margin of Error; White alone, not Hispanic or Latino",Total; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Mean income (dollars); Estimate; PERCENT IMPUTED - Household income in the past 12 months,Mean income (dollars); Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Mean income (dollars); Estimate; PERCENT IMPUTED - Family income in the past 12 months,Mean income (dollars); Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Individual income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Individual income in the past 12 months,Mean income (dollars); Estimate; PERCENT IMPUTED - Individual income in the past 12 months,Mean income (dollars); Margin of Error; PERCENT IMPUTED - Individual income in the past 12 months
8600000US06390,06390,ZCTA5 06390,131,50,123712,20843,71.0,21.3,123560,26280,34.4,19.1,9209,8047,31.3,23.3,13495,3100,0.0,21.7,-,**,0.0,21.7,-,**,22.9,20.0,115073,64105,86,49,144636,23015,27.9,29.4,N,N,16.3,16.6,N,N,38.4,24.3,N,N,0.0,30.5,N,N,17.4,14.6,N,N,0.0,30.5,N,N,280,121,56808,13078,100.0,10.9,56808,13078,0.0,10.9,-,**,0.0,10.9,-,**,0.0,10.9,-,**,0.0,10.9,-,**,0.0,10.9,-,**,0.0,10.9,-,**,0.0,10.9,-,**,100.0,10.9,56808,13078,45.0,(X),(X),(X),38.4,(X),(X),(X),40.2,(X),(X),(X)
8600000US10001,10001,ZCTA5 10001,10473,447,121403,11145,78.7,1.9,137982,13192,31.5,3.2,16163,4075,21.1,2.1,15114,1358,4.2,1.4,6056,1140,2.7,1.1,6059,1459,11.7,1.9,22329,4046,3029,374,157583,21573,10.1,4.7,46630,28958,33.4,7.1,114220,37664,40.2,6.5,243769,35415,9.3,3.3,98858,53483,3.9,2.6,126093,56073,3.1,2.1,83947,56531,21097,1160,63431,5795,63.9,3.5,77348,6983,10.5,2.5,20907,7309,1.3,0.9,13651,7640,16.8,2.4,58766,16039,0.0,0.2,-,**,3.7,1.5,21318,8633,3.9,1.5,26317,9746,14.1,2.6,27990,7404,56.2,3.6,82877,7430,19.3,(X),(X),(X),24.2,(X),(X),(X),20.9,(X),(X),(X)
8600000US10002,10002,ZCTA5 10002,32573,617,57063,2629,68.3,1.8,70344,3308,14.3,1.3,10189,2788,29.7,1.6,11498,520,12.3,1.2,7158,344,4.6,0.8,3281,507,11.0,1.0,16224,1988,17833,644,56568,3451,24.8,2.3,19106,2346,33.5,2.7,48867,5710,21.1,2.2,99129,10272,11.5,1.7,59904,8163,4.5,1.2,90829,16870,4.6,1.3,78363,13608,81335,2469,25024,1252,30.5,1.3,43548,3081,7.0,1.0,20028,3785,0.3,0.2,14304,5377,46.0,1.8,16925,1261,0.0,0.1,N,N,13.1,1.6,13884,1460,3.2,0.7,22491,7709,24.5,1.8,14719,1146,21.6,1.3,54427,3826,31.1,(X),(X),(X),34.9,(X),(X),(X),24.9,(X),(X),(X)
8600000US10003,10003,ZCTA5 10003,27326,619,140822,5992,84.3,1.4,144742,7208,36.0,2.2,32655,5927,17.6,1.5,17157,834,1.3,0.4,7771,3002,1.0,0.4,4867,2481,8.7,1.1,27444,3957,7238,485,206399,16130,10.7,2.7,86820,32252,27.2,3.2,185301,30793,52.3,3.9,256015,24242,7.1,2.1,131071,31434,1.5,0.7,145290,59363,1.2,0.9,108007,65719,55190,1766,73629,3315,76.9,2.1,81778,3931,3.6,0.8,37601,17399,0.2,0.2,9242,7787,14.1,1.7,51685,7999,0.0,0.1,N,N,2.6,0.6,31398,8341,2.7,0.6,49382,25465,7.7,1.0,39748,8402,72.0,2.3,84113,4192,20.3,(X),(X),(X),22.7,(X),(X),(X),23.5,(X),(X),(X)
8600000US10004,10004,ZCTA5 10004,1453,179,245827,58099,98.1,1.5,230382,60816,38.6,7.9,49081,55150,2.1,2.2,18865,6425,0.0,2.2,-,**,0.0,2.2,-,**,0.6,0.9,50675,31,407,111,435870,146218,0.0,7.7,N,N,26.8,15.9,N,N,71.7,16.5,N,N,1.5,2.5,N,N,0.0,7.7,N,N,0.0,7.7,N,N,2604,362,138829,30285,71.9,7.1,166901,38152,6.1,3.7,35772,24897,0.0,1.2,-,**,15.7,5.3,88473,24718,0.0,1.2,-,**,1.8,2.3,N,N,4.5,4.5,31790,44729,7.3,4.0,75236,44338,65.9,7.5,175419,39379,20.0,(X),(X),(X),20.9,(X),(X),(X),16.4,(X),(X),(X)
8600000US10005,10005,ZCTA5 10005,2772,222,159876,19699,94.2,3.8,165892,20393,27.9,7.1,9641,4139,1.0,1.2,15503,11037,0.0,1.2,-,**,0.0,1.2,-,**,0.0,1.2,-,**,702,196,209558,49607,1.3,2.1,N,N,35.0,15.7,N,N,62.8,15.1,N,N,0.0,4.5,N,N,0.9,1.6,N,N,0.0,4.5,N,N,4935,500,94019,11275,75.4,5.1,94585,14518,1.0,0.7,63392,38095,0.0,0.1,N,N,20.5,5.1,103387,24423,0.0,0.7,-,**,0.2,0.3,N,N,2.8,1.9,26577,8929,3.5,2.0,77397,52756,72.6,5.4,94522,14539,16.5,(X),(X),(X),10.0,(X),(X),(X),11.0,(X),(X),(X)
8600000US10006,10006,ZCTA5 10006,1597,187,150366,22525,95.7,2.9,152476,22682,25.5,6.7,13164,9431,1.4,1.3,19243,5107,0.0,2.0,-,**,0.0,2.0,-,**,1.3,1.5,10795,1901,382,112,246771,55819,0.0,8.2,N,N,37.7,18.4,N,N,53.1,19.3,N,N,9.2,11.9,N,N,0.0,8.2,N,N,0.0,8.2,N,N,2722,324,92121,14050,62.5,7.1,107685,20688,3.2,1.9,23452,13019,0.0,1.2,-,**,22.1,6.9,71694,19531,0.0,1.2,-,**,8.0,5.6,54580,30200,4.2,3.2,91488,52129,9.7,6.8,36520,17728,59.3,7.4,111999,21902,21.3,(X),(X),(X),13.1,(X),(X),(X),16.2,(X),(X),(X)
8600000US10007,10007,ZCTA5 10007,2266,182,347623,53477,96.5,2.6,333570,51396,43.9,8.1,50003,29373,4.3,2.0,23878,7162,0.5,0.8,1109,17,0.7,1.1,4206,11,4.1,2.2,34739,12116,1138,168,454948,82289,2.0,2.2,N,N,23.0,7.9,N,N,68.6,9.0,N,N,2.5,3.0,N,N,3.9,3.0,N,N,0.0,2.8,N,N,5892,546,136747,19346,71.9,5.1,155404,22068,6.9,3.1,29967,16389,0.0,0.5,-,**,13.5,4.1,160770,70887,0.0,0.5,-,**,4.7,2.0,17841,23781,3.0,1.4,11619,17854,9.0,2.8,42724,31632,68.9,5.5,157913,23006,26.6,(X),(X),(X),22.8,(X),(X),(X),27.6,(X),(X),(X)
8600000US10009,10009,ZCTA5 10009,29713,464,83700,4752,75.6,1.8,95493,5863,20.7,1.8,17939,5556,23.0,1.4,13415,751,7.7,1.0,8020,509,3.5,0.8,3185,582,12.2,1.2,22037,2660,11072,572,95578,10455,19.8,2.5,27775,4741,37.4,3.5,61718,8124,27.1,3.0,187800,34043,10.1,2.2,84078,13346,3.5,1.3,152883,39273,2.3,0.8,108161,30520,62335,1710,43105,2333,58.7,1.9,57069,3966,8.7,1.2,22550,3122,0.3,0.2,14261,8738,16.1,1.6,29252,3767,0.0,0.1,-,**,12.6,1.5,15279,2113,3.6,0.8,26544,5193,24.2,1.5,19462,2298,49.3,1.6,63167,4424,24.4,(X),(X),(X),26.4,(X),(X),(X),20.6,(X),(X),(X)
