Neighborhood,Borough,Zipcode(s),Latitude(s)/Longitude(s)
Central Bronx,The Bronx,"10453, 10457, 10460","[(40.8515872, -73.9154069), (40.84413869999999, -73.8977693), (40.841618, -73.8801301)]"
Bronx Park and Fordham,The Bronx,"10458, 10467, 10468","[(40.8621792, -73.88601), (40.8723987, -73.8713099), (40.8687887, -73.8977693)]"
High Bridge and Morrisania,The Bronx,"10451, 10452, 10456","[(40.8187386, -73.9271644), (40.8376318, -73.92128579999999), (40.83102239999999, -73.9095279)]"
Hunts Point and Mott Haven,The Bronx,"10454, 10455, 10459, 10474","[(40.8022594, -73.9154069), (40.8147803, -73.90805809999999), (40.8285039, -73.8918897), (40.8050442, -73.8830701)]"
Kingsbridge and Riverdale,The Bronx,"10463, 10471","[(40.8803247, -73.9095279), (40.8971509, -73.9065883)]"
Northeast Bronx,The Bronx,"10466, 10469, 10470, 10475","[(40.8887394, -73.8477874), (40.8690303, -73.8477874), (40.89907669999999, -73.86836970000002), (40.87347, -73.8272029)]"
Southeast Bronx,The Bronx,"10461, 10462,10464, 10465, 10472, 10473","[(40.8476284, -73.8360251), (40.8382522, -73.8566087), (40.864318, -73.7977928), (40.8262186, -73.8242621), (40.8300731, -73.86836970000002), (40.811547, -73.859549)]"
Central Brooklyn,Brooklyn,"11212, 11213, 11216, 11233, 11238","[(40.6639181, -73.9154069), (40.6722134, -73.93892129999999), (40.6788319, -73.9506774), (40.6795939, -73.92128579999999), (40.6805029, -73.96243270000001)]"
Southwest Brooklyn,Brooklyn,"11209, 11214, 11228","[(40.6212119, -74.03294989999999), (40.6042332, -74.00259989999999), (40.6137658, -74.0153231)]"
Borough Park,Brooklyn,"11204, 11218, 11219, 11230","[(40.6195067, -73.9859414), (40.6483744, -73.9800645), (40.6310753, -73.9976946), (40.6190629, -73.96537150000002)]"
Canarsie and Flatlands,Brooklyn,"11234, 11236, 11239","[(40.6007956, -73.9065883), (40.63871959999999, -73.8948295), (40.6516509, -73.8727799)]"
Southern Brooklyn,Brooklyn,"11223, 11224, 11229, 11235","[(40.6009233, -73.977126), (40.5749261, -73.9859414), (40.59880769999999, -73.9447994), (40.5860069, -73.9418603)]"
Northwest Brooklyn,Brooklyn,"11201, 11205, 11215, 11217, 11231","[(40.6986772, -73.9859414), (40.6945036, -73.9565551), (40.6681669, -73.9800645), (40.6815619, -73.9785952), (40.6772802, -74.0094471)]"
Flatbush,Brooklyn,"11203, 11210, 11225, 11226","[(40.6515882, -73.93304289999999), (40.6285158, -73.9447994), (40.6648278, -73.9565551), (40.6470923, -73.9536163)]"
East New York and New Lots,Brooklyn,"11207, 11208","[(40.6655101, -73.8918897), (40.6749343, -73.8713099)]"
Greenpoint,Brooklyn,"11211, 11222","[(40.7093358, -73.9565551), (40.7282702, -73.9506774)]"
Sunset Park,Brooklyn,"11220, 11232","[(40.6385229, -74.0153231), (40.6560436, -74.0079781)]"
