subborough,2011,2012,2013,2014,2015
East New York and New Lots,0,0,0,0,0
South Shore,0.3333333333333333,0.3333333333333333,0.5,0.5,0.0
Northeast Bronx,0,0,0,0.2857142857142857,0.0
Jamaica,0,0,0.5,0.5,0.5
Mid-Island,0,0.0,0.3,0.35,0.3333333333333333
North Queens,0,0.5,0,0.6923076923076923,0.52
Northwest Brooklyn,0,0.07142857142857142,0.6923076923076923,0.5,0.4262295081967213
Upper West Side,0.5217391304347826,0.7777777777777778,0.425,0.4838709677419355,0.30952380952380953
Northeast Queens,0.2,0.3,0.16666666666666666,0.42424242424242425,0.3728813559322034
Southeast Bronx,0,0.0,0.0,0.0,0.0
High Bridge and Morrisania,0.5,1.0,0.6,0.47368421052631576,0.6153846153846154
Inwood and Washington Heights,0.5,1.0,0.4411764705882353,0.6086956521739131,0.3
West Queens,0,0.3333333333333333,0.5,0.6,0.5
Canarsie and Flatlands,0,0,0.0,0.0,0.38095238095238093
Upper East Side,0.38095238095238093,0.0,0.0,0.04,0.09090909090909091
Southwest Queens,1.0,0.0,0.0,0.42105263157894735,0.325
Bronx Park and Fordham,0.08333333333333333,0.0625,0.6428571428571429,0.6153846153846154,0.7272727272727273
Greenwich Village and Soho,1.0,0.22448979591836735,0.35294117647058826,0.6666666666666666,0.0
East Harlem,0.0,0.0,0.0,0.15384615384615385,0.3018867924528302
Flatbush,0,0,0,0.5,0.4
Southern Brooklyn,0,0.5,0,0.1,0.21875
Port Richmond,0,0,1.0,0.45454545454545453,0.3
Chelsea and Clinton,0.6470588235294118,0.7083333333333334,0.4142857142857143,0.5,0.5833333333333334
Central Brooklyn,0,0,0.8125,0.5555555555555556,0
Kingsbridge and Riverdale,0.4,0.3333333333333333,0,0,0.25
West Central Queens,0.5,0.0,0.15384615384615385,0.0,0.3333333333333333
Gramercy Park and Murray Hill,0.6,1.0,0.5,0.6363636363636364,0.3333333333333333
Bushwick and Williamsburg,0,1.0,0.0,0.5,0.5357142857142857
Stapleton and St. George,0,0.7272727272727273,0.2,0.6,0.4666666666666667
Southeast Queens,0.3333333333333333,0.0,0.3333333333333333,0.1794871794871795,0.23529411764705882
Greenpoint,0.0,0,0,0.16666666666666666,0.16666666666666666
Northwest Queens,1.0,0.0,0.4117647058823529,0.2222222222222222,0.23333333333333334
Central Bronx,0,0,0.0,0,0.75
Borough Park,0.5,0.6,0.631578947368421,0.75,0.375
Rockaways,0,0,0,0,0.25
Central Harlem,0.2222222222222222,0.5294117647058824,0.1875,0.5714285714285714,0.5974025974025974
Sunset Park,0.8,0.5675675675675675,0.43478260869565216,0.0,0.6
Lower East Side,0.3333333333333333,0.7272727272727273,0.5,0.9411764705882353,0.7142857142857143
Lower Manhattan,0.1111111111111111,0.0,0.0,0.0,0.0
Hunts Point and Mott Haven,0,0,0,0.0,0.0
Central Queens,0.75,0.3333333333333333,0.5714285714285714,0.3333333333333333,0.37142857142857144
Southwest Brooklyn,0,0.3333333333333333,0.2,0.375,0.47058823529411764
