CONFERENCE_EVENT,"Coney Island is calling!
Spend the Summer working at Luna Park in Coney Island!
Come to the Luna Park Job Fair
Friday, February 26th 10am ‰ÛÒ 6pm
B&B Carousell
Located on the Boardwalk between Kensington Walk and the Parachute Jump.
Visit our Employment page for a list of current opportunities:
LunaParkNYC.com/about/employment
*Please note that all candidates must be 18 years of age or older,
and must bring an updated copy of their resume in order to be interviewed.*
For more information, contact us at 718-373-5862 or Info@LunaParkNYC.com",1,CONFERENCE_EVENT
FESTIVAL_EVENT,"Marc and the Maniac Pumpkin Carvers are back at Luna Park for the 3rd year in a row!
What crazy carvings do they have in store this time around?
Join us all-day Sunday, Oct 25, in Jack‰Ûªs Pumpkin Shack to see their best Luna Park design yet!
Not familiar with The Maniacs? Check ‰Ûªem out at www.maniacpumpkincarvers.com!",1,FESTIVAL_EVENT
FESTIVAL_EVENT,"Dogs like to dress up for Halloween, too! Bring your cute canine companion to Luna Park on October 11, 2015 for our Halloween Harvest Dog Parade and Costume Contest.
**Each dog registered before September 26, 2015 will receive a free treat!**
Click below to see full Terms & Conditions and to pre-register.
http://lunaparknyc.com/events/halloween-harvest-dog-parade-costume-contest/
YOU MUST REGISTER TO BRING YOUR DOG INTO LUNA PARK!
Your furry friend could win a 6-month subscription to BarkBox, as well as several other fabulous prizes.
Tell your friends and family to join us in cheering on your dog!
Are you just interested in watching the Parade & Costume Contest? The fun starts at 12pm!",1,FESTIVAL_EVENT
THEATER_EVENT,"Magical Promotions, together with Coney Island USA, presents an afternoon of fun and wonder for the entire family. ‰ÛÏMagic at Coney!!!‰Ûù is a magical variety show highlighting a vast array of magicians; featuring illusionists, escape artists, mentalists and close-up magicians from around the world.
Admission is only $10 for adults and $5 for children under 12 online, or at the door.
Hosted by Gary Dreifus, award-winning magician, mentalist, hypnotist, magic instructor and world-renowned magical host, the performers this week are:
Harry Mandel
Harry Mandel's unique blend of amazing magic effects, comedy, mentalism, and escapes, has been delighting audiences since 1989. He has appeared at the world famous Copacabana and various Comedy Clubs as well as on local TV shows.
Carl Mercurio
Classic blend of comedy and magic by the world-class author, magician and humorist. Carl has performed at venues large and small, spreading Magic and Love Worldwide!
Special Guest: Torkova
Torkova is an Award Winning Mind Reader and Magician. He reveals secretly thought of childhood names, dates and other personal information that could not possibly have been known beforehand. Torkova‰Ûªs entertainment skills along with his warm wit will have you laughing and wondering if this could all possibly be real?",1,THEATER_EVENT
FESTIVAL_EVENT,"WINTER WONDERLAND - Dec. 17th & 18th 2016
3D Laser Shows, Holiday Vendors Toy Trains & Santa Claus
THIS AIN'T YOUR PARENTS LASERS SHOW...
Swim in a sea of color as we transform the air around you into a fully immersive, mind blowing laser light experience. 
Featuring our...
HOLIDAY THEMED LASER LIGHT & VIDEO SHOW
(showcasing Christmas, Hanukkah & Holiday favorites)
Showtimes: Saturday & Sunday @ 1:00pm & 3:00pm 
PINK FLOYD LASER LIGHT & VIDEO SHOW
(Dark Side of the Moon - our most popular show to date)
Showtime: Saturday 5:00pm
THE BEATLES LASER LIGHT & VIDEO SHOW
(This one turns into a giant sing a long every time)
Showtime: Sunday 5:00pm
All Laser Show tickets include...
3D LASER GLASSES
A ticket to visit Santa Claus
a special pre-show performance by SERPENTINA
IMMERSIVE THEATER EXPERIENCE on our giant video screen
(Take a virtual thrill ride on Coney Island's greatest Roller Coasters)
but that's not all...
WINTER WONDERLAND SHOPPING VILLAGE
Open all day Saturday & Sunday 12:00pm - 7:00pm. Free Admission.
We will have presents for all those hard to buy for people in your lives. Vendors selling original holiday themed ornaments, Siamese twin artwork, original design jewelry, beautiful one of a kind hats and so much more. 
Plus MR. CYCLONE'S ANTIQUE PRE-WAR TOY TRAINS WILL BE ON DISPLAY (sat only)
The bar will be selling hot chocolate for kids and adult beverages for grown ups.
and last but not least...
TAKE A SELFIE WITH SANTA CLAUS
Sit on his lap and tell him what you want for Christmas
(included with Laser Show ticket)
* SPECIAL OFF SEASON HOLIDAY PRICE * 
Laser Show Tickets $12 per person, per show
Shopping Village is FREE and open to the public
ADVANCED TICKETS GUARANTEE ENTRY
Purchase advanced tickets in person at the Sideshow gift shop or buy from our online shop with no extra fees.
Advance tickets link: http://shop.coneyisland.com/cgi-bin/commerce.cgi?search=action&category=LASR
This special event will take place at the legendary
SIDESHOWS BY THE SEASHORE & FREAK BAR
* 1208 Surf Avenue * Brooklyn, NY 11224 * @ West 12th St. *
www.facebook.com/ConeyIslandLaserShows
www.coneyislandlasershows.com
www.twitter.com/coneylasers
Produced by: Coney Island Laser Shows
in association with Serpentina & Coney Island USA
We would like to thank our Sponsors
The Little People Party
Eldorado Auto Skooter
Shaw Promotion
& Brooklyn Go-Karts",1,FESTIVAL_EVENT
THEATER_EVENT,"Magical Promotions, together with Coney Island USA, presents an afternoon of fun and wonder for the entire family. ‰ÛÏMagic at Coney!!!‰Ûù is a magical variety show highlighting a vast array of magicians; featuring illusionists, escape artists, mentalists and close-up magicians from around the world.
Admission is only $10 for adults and $5 for children under 12 online, or at the door.
Hosted by Gary Dreifus, award-winning magician, mentalist, hypnotist, magic instructor and world-renowned magical host, the performers this week are:
Thomas Solomon
The World‰Ûªs Greatest Escape Artist, as evidenced by an award-winning handcuff act (2000 World Magic Awards) at The Roxy, The Magic Castle, Limelight, MK, Bally's, the White House and on several television specials throughout the world!  He has received numerous citations, including one from President Barack Obama, Governor Andrew Cuomo of New York and Governor Chris Christie of New Jersey, for his work on behalf of wounded veterans.
Stephen Christopher
Returning to Magic at Coney!!! by popular demand, Stephen Christopher has been entertaining audiences of all ages for years! An accomplished magician, hypnotist and mind-reader, Stephen is one of the top performers in the tristate area.",1,THEATER_EVENT
FOOD_TASTING,"Let's be honest. You don't want to go to Manhattan when it is filled with Christmas ""Cheer,"" and you certainly can't trust your neighborhood bar with the possilbity of drunken Santas invading unannouced. Why not embrace your Inner Seasonal Monster and take part in the Inaugural Coney Island Krampus Krawl?
Register as an official participant for $10, in order to qualify for specials at participating locations! Please Note: You are welcome to join us without registering, but you will NOT receive the discounted specials below. 
Locations to Visit:
Freak Bar at Coney Island USA, 1208 Surf Ave.
The Official Starting Point! Where you'll register and get your complimentary drink ticket to start your day.
Steeplechase Beergarden, 1904 Surf Ave. (at MCU Park).
Offering $4 discount drinks to registered participants!
Coney Island Brewery, 1904 Surf Ave. (at MCU Park).
$4 Pints to registered participants!
The Red Doors Bar and Grill at Coney Island, 1205 Surf Ave.
Offering $3 Budweiser, $5 Draft Beers and $20 Buckets of Coronas to registered participants!
and more!
Costumes encouraged, the more outlandish the better.",0,FOOD_TASTING
THEATER_EVENT,"Mark your calendar and check it twice- Christmas is coming to Coney December 9th! 
Christmas in Coney: Winter Wonderwheel Spectacular
Starring:
LePinkie ESpecial
Jonny Porkpie
New York School of Burlesque Headmistress Jo Boobs
Immodesty Rose
The Great Dubini
Falana Fox
Gemini Blitz
and what's Christmas without some Spiced Cider!
Host of Christmas Present - Matt Knife
and special holiday guests The Schlep Sisters!
Sincerely Yours & The Dear Johns blasting and jamming all your favorite holiday tunes (Chris Johnson, Curt Garey & Kenball Zwerin of the Nep-tones) 
Stage Kitten Vera Sapphire
and panty panther ""Peaches"" the Christmas Gimp
Holiday raffle prizes with proceeds donated to Coney Island USA.
$15 online, or at the door.
