subborough,2011,2012,2013,2014,2015
Central Brooklyn,1014.2,1060.8,1095.0,1129.0,1139.0
Borough Park,1132.25,1172.5,1210.0,1254.5,1272.0
Central Bronx,937.0,963.3333333333334,982.6666666666666,1009.0,1013.0
Lower East Side,1279.6666666666667,1346.3333333333333,1379.6666666666667,1429.3333333333333,1465.6666666666667
Chelsea and Clinton,1718.2,1817.0,1899.0,1930.2,2181.4
Bushwick and Williamsburg,973.3333333333334,1020.0,1061.6666666666667,1109.0,1131.6666666666667
Upper East Side,1849.8333333333333,1898.1666666666667,1922.0,1957.0,2040.5
Stapleton and St. George,1057.3333333333333,1097.3333333333333,1146.0,1155.6666666666667,1145.6666666666667
Central Harlem,810.6,854.0,888.4,924.0,965.8
Bronx Park and Fordham,1018.3333333333334,1063.3333333333333,1090.3333333333333,1119.0,1136.3333333333333
West Central Queens,1283.25,1322.0,1344.5,1380.25,1390.5
West Queens,1263.142857142857,1304.5714285714287,1349.4285714285713,1383.7142857142858,1395.5714285714287
Mid-Island,1184.0,1177.0,1187.0,1195.0,1199.0
Kingsbridge and Riverdale,1134.5,1198.0,1239.5,1289.0,1339.5
East New York and New Lots,1024.0,1055.5,1079.5,1095.5,1100.0
High Bridge and Morrisania,850.6666666666666,884.0,920.0,951.3333333333334,967.3333333333334
Rockaways,854.8,894.2,957.4,904.4,1017.0
Northwest Queens,1236.5,1298.3333333333333,1342.5,1391.8333333333333,1427.5
Southern Brooklyn,944.5,973.0,1005.5,1029.75,1048.5
Greenwich Village and Soho,1625.0,1662.3333333333333,1743.6666666666667,1793.6666666666667,1940.0
Upper West Side,1644.0,1720.6666666666667,1769.0,1755.3333333333333,1816.6666666666667
Canarsie and Flatlands,1090.0,1095.0,1127.6666666666667,1150.6666666666667,1123.0
North Queens,1435.3333333333333,1475.8333333333333,1502.0,1526.6666666666667,1518.3333333333333
Inwood and Washington Heights,1023.4,1059.6,1097.2,1147.4,1177.2
Central Queens,1252.3333333333333,1308.3333333333333,1340.0,1380.0,1400.6666666666667
Hunts Point and Mott Haven,771.75,786.75,821.5,831.5,851.0
Northwest Brooklyn,1435.2,1513.8,1586.0,1661.6,1697.8
Southwest Queens,1268.375,1305.0,1331.0,1364.75,1389.25
Northeast Queens,1458.5,1547.0,1579.25,1628.25,1686.5
Southwest Brooklyn,1147.0,1179.6666666666667,1211.6666666666667,1260.0,1292.0
Jamaica,1122.5714285714287,1186.5714285714287,1218.4285714285713,1235.2857142857142,1255.0
Gramercy Park and Murray Hill,1983.5,2000.0,2000.0,2000.0,2274.75
Lower Manhattan,1901.8333333333333,1937.6666666666667,1922.8333333333333,1999.0,2826.1666666666665
Southeast Queens,1320.6666666666667,1350.0,1406.111111111111,1455.6666666666667,1523.6666666666667
Northeast Bronx,1033.75,1068.5,1108.0,1140.25,1150.75
Sunset Park,1135.5,1174.0,1200.0,1259.5,1271.0
South Shore,1204.2,1254.8,1261.6,1237.4,1218.6
Greenpoint,1200.0,1274.5,1321.0,1451.0,1548.5
Flatbush,1049.75,1089.0,1125.0,1158.75,1185.25
Southeast Bronx,1000.25,1026.0,1061.75,1097.0,1114.5
Port Richmond,1155.0,1138.0,1106.6666666666667,1057.6666666666667,1062.3333333333333
East Harlem,675.0,726.0,759.5,819.0,828.0
