GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median gross rent,Margin of Error; Median gross rent
8600000US06390,06390,ZCTA5 06390,1381,44
8600000US10001,10001,ZCTA5 10001,1989,169
8600000US10002,10002,ZCTA5 10002,882,34
8600000US10003,10003,ZCTA5 10003,2030,77
8600000US10004,10004,ZCTA5 10004,2851,134
8600000US10005,10005,ZCTA5 10005,2918,114
8600000US10006,10006,ZCTA5 10006,2824,118
8600000US10007,10007,ZCTA5 10007,3423,172
8600000US10009,10009,ZCTA5 10009,1485,67
8600000US10010,10010,ZCTA5 10010,2295,98
8600000US10011,10011,ZCTA5 10011,2000,107
8600000US10012,10012,ZCTA5 10012,2027,88
8600000US10013,10013,ZCTA5 10013,1512,164
8600000US10014,10014,ZCTA5 10014,2281,115
8600000US10016,10016,ZCTA5 10016,2327,73
8600000US10017,10017,ZCTA5 10017,2218,132
8600000US10018,10018,ZCTA5 10018,2784,127
8600000US10019,10019,ZCTA5 10019,2169,139
8600000US10020,10020,ZCTA5 10020,-,**
8600000US10021,10021,ZCTA5 10021,1913,82
8600000US10022,10022,ZCTA5 10022,2259,134
8600000US10023,10023,ZCTA5 10023,2173,102
8600000US10024,10024,ZCTA5 10024,1849,87
8600000US10025,10025,ZCTA5 10025,1428,67
8600000US10026,10026,ZCTA5 10026,992,53
8600000US10027,10027,ZCTA5 10027,1026,40
8600000US10028,10028,ZCTA5 10028,2081,83
8600000US10029,10029,ZCTA5 10029,886,36
8600000US10030,10030,ZCTA5 10030,905,45
8600000US10031,10031,ZCTA5 10031,1150,40
8600000US10032,10032,ZCTA5 10032,1109,36
8600000US10033,10033,ZCTA5 10033,1240,41
8600000US10034,10034,ZCTA5 10034,1159,32
8600000US10035,10035,ZCTA5 10035,770,63
8600000US10036,10036,ZCTA5 10036,1965,116
8600000US10037,10037,ZCTA5 10037,1047,48
8600000US10038,10038,ZCTA5 10038,2051,281
8600000US10039,10039,ZCTA5 10039,859,52
8600000US10040,10040,ZCTA5 10040,1228,37
8600000US10044,10044,ZCTA5 10044,2145,145
8600000US10065,10065,ZCTA5 10065,2143,89
8600000US10069,10069,ZCTA5 10069,3075,267
8600000US10075,10075,ZCTA5 10075,1999,143
8600000US10103,10103,ZCTA5 10103,-,**
8600000US10110,10110,ZCTA5 10110,-,**
8600000US10111,10111,ZCTA5 10111,-,**
8600000US10112,10112,ZCTA5 10112,-,**
8600000US10115,10115,ZCTA5 10115,-,**
8600000US10119,10119,ZCTA5 10119,-,**
8600000US10128,10128,ZCTA5 10128,1962,75
8600000US10152,10152,ZCTA5 10152,-,**
8600000US10153,10153,ZCTA5 10153,-,**
8600000US10154,10154,ZCTA5 10154,-,**
8600000US10162,10162,ZCTA5 10162,3009,771
8600000US10165,10165,ZCTA5 10165,-,**
8600000US10167,10167,ZCTA5 10167,-,**
8600000US10168,10168,ZCTA5 10168,-,**
8600000US10169,10169,ZCTA5 10169,-,**
8600000US10170,10170,ZCTA5 10170,-,**
8600000US10171,10171,ZCTA5 10171,-,**
8600000US10172,10172,ZCTA5 10172,-,**
8600000US10173,10173,ZCTA5 10173,-,**
8600000US10174,10174,ZCTA5 10174,-,**
8600000US10177,10177,ZCTA5 10177,-,**
8600000US10199,10199,ZCTA5 10199,-,**
8600000US10271,10271,ZCTA5 10271,-,**
8600000US10278,10278,ZCTA5 10278,-,**
8600000US10279,10279,ZCTA5 10279,-,**
8600000US10280,10280,ZCTA5 10280,2890,129
8600000US10282,10282,ZCTA5 10282,3084,412
8600000US10301,10301,ZCTA5 10301,1168,29
8600000US10302,10302,ZCTA5 10302,1168,68
8600000US10303,10303,ZCTA5 10303,958,78
8600000US10304,10304,ZCTA5 10304,1074,88
8600000US10305,10305,ZCTA5 10305,1195,70
8600000US10306,10306,ZCTA5 10306,1195,40
8600000US10307,10307,ZCTA5 10307,1203,80
8600000US10308,10308,ZCTA5 10308,1245,142
8600000US10309,10309,ZCTA5 10309,1235,200
8600000US10310,10310,ZCTA5 10310,1061,64
8600000US10311,10311,ZCTA5 10311,-,**
8600000US10312,10312,ZCTA5 10312,1215,71
8600000US10314,10314,ZCTA5 10314,1199,59
8600000US10451,10451,ZCTA5 10451,931,29
8600000US10452,10452,ZCTA5 10452,1044,18
8600000US10453,10453,ZCTA5 10453,1028,18
8600000US10454,10454,ZCTA5 10454,673,32
8600000US10455,10455,ZCTA5 10455,796,44
8600000US10456,10456,ZCTA5 10456,927,21
8600000US10457,10457,ZCTA5 10457,1060,17
8600000US10458,10458,ZCTA5 10458,1121,17
8600000US10459,10459,ZCTA5 10459,920,25
8600000US10460,10460,ZCTA5 10460,951,25
8600000US10461,10461,ZCTA5 10461,1244,26
8600000US10462,10462,ZCTA5 10462,1210,16
8600000US10463,10463,ZCTA5 10463,1191,31
8600000US10464,10464,ZCTA5 10464,1365,77
8600000US10465,10465,ZCTA5 10465,1259,63
8600000US10466,10466,ZCTA5 10466,1138,27
8600000US10467,10467,ZCTA5 10467,1140,13
8600000US10468,10468,ZCTA5 10468,1148,17
8600000US10469,10469,ZCTA5 10469,1261,40
8600000US10470,10470,ZCTA5 10470,1258,49
8600000US10471,10471,ZCTA5 10471,1488,64
8600000US10472,10472,ZCTA5 10472,1065,20
8600000US10473,10473,ZCTA5 10473,890,32
8600000US10474,10474,ZCTA5 10474,1015,45
8600000US10475,10475,ZCTA5 10475,946,33
8600000US10501,10501,ZCTA5 10501,-,**
8600000US10502,10502,ZCTA5 10502,1238,258
8600000US10503,10503,ZCTA5 10503,-,**
8600000US10504,10504,ZCTA5 10504,2370,1691
8600000US10505,10505,ZCTA5 10505,1316,505
8600000US10506,10506,ZCTA5 10506,2308,1199
8600000US10507,10507,ZCTA5 10507,1381,84
8600000US10509,10509,ZCTA5 10509,1313,123
8600000US10510,10510,ZCTA5 10510,1599,546
8600000US10511,10511,ZCTA5 10511,1494,223
8600000US10512,10512,ZCTA5 10512,1169,52
8600000US10514,10514,ZCTA5 10514,1976,736
8600000US10516,10516,ZCTA5 10516,1433,148
8600000US10517,10517,ZCTA5 10517,1478,1167
8600000US10518,10518,ZCTA5 10518,-,**
8600000US10519,10519,ZCTA5 10519,-,**
8600000US10520,10520,ZCTA5 10520,1338,49
8600000US10522,10522,ZCTA5 10522,1631,224
8600000US10523,10523,ZCTA5 10523,1918,171
8600000US10524,10524,ZCTA5 10524,1775,484
8600000US10526,10526,ZCTA5 10526,1098,978
8600000US10527,10527,ZCTA5 10527,-,**
8600000US10528,10528,ZCTA5 10528,1921,159
8600000US10530,10530,ZCTA5 10530,1708,112
8600000US10532,10532,ZCTA5 10532,1226,699
8600000US10533,10533,ZCTA5 10533,1836,246
8600000US10535,10535,ZCTA5 10535,1244,223
8600000US10536,10536,ZCTA5 10536,2074,259
8600000US10537,10537,ZCTA5 10537,-,**
8600000US10538,10538,ZCTA5 10538,1578,175
8600000US10541,10541,ZCTA5 10541,1238,116
